# DURATION     TID     FUNCTION
            [  9146] |     std::allocator::~allocator() {
   0.069 us [  9146] |       __gnu_cxx::new_allocator::~new_allocator();
   0.304 us [  9146] |     } /* std::allocator::~allocator */
            [  9146] |     std::vector::begin() {
   0.076 us [  9146] |       __gnu_cxx::__normal_iterator::__normal_iterator();
   0.307 us [  9146] |     } /* std::vector::begin */
   0.070 us [  9146] |     __gnu_cxx::__normal_iterator::operator++();
   0.074 us [  9146] |     __gnu_cxx::__normal_iterator::operator*();
   0.078 us [  9146] |     __gnu_cxx::__normal_iterator::operator*();
            [  9146] |     std::swap() {
   0.074 us [  9146] |       std::move();
   0.071 us [  9146] |       std::move();
   0.071 us [  9146] |       std::move();
   0.728 us [  9146] |     } /* std::swap */
   0.615 us [  9146] |     std::allocator::allocator();
   2.183 us [  9146] |     std::__cxx11::basic_string::basic_string();
            [  9146] |     PRINT_ELEMENTS() {
   6.451 us [  9146] |       std::operator<<();
            [  9146] |       std::vector::begin() {
   0.078 us [  9146] |         __gnu_cxx::__normal_iterator::__normal_iterator();
   0.302 us [  9146] |       } /* std::vector::begin */
            [  9146] |       std::vector::end() {
   0.071 us [  9146] |         __gnu_cxx::__normal_iterator::__normal_iterator();
   0.290 us [  9146] |       } /* std::vector::end */
            [  9146] |       __gnu_cxx::operator!=() {
   0.071 us [  9146] |         __gnu_cxx::__normal_iterator::base();
   0.069 us [  9146] |         __gnu_cxx::__normal_iterator::base();
   0.516 us [  9146] |       } /* __gnu_cxx::operator!= */
   0.073 us [  9146] |       __gnu_cxx::__normal_iterator::operator*();
  10.458 us [  9146] |       std::basic_ostream::operator<<();
   1.480 us [  9146] |       std::operator<<();
   0.079 us [  9146] |       __gnu_cxx::__normal_iterator::operator++();
            [  9146] |       __gnu_cxx::operator!=() {
   0.071 us [  9146] |         __gnu_cxx::__normal_iterator::base();
   0.067 us [  9146] |         __gnu_cxx::__normal_iterator::base();
   0.485 us [  9146] |       } /* __gnu_cxx::operator!= */
   0.071 us [  9146] |       __gnu_cxx::__normal_iterator::operator*();
   0.416 us [  9146] |       std::basic_ostream::operator<<();
   0.256 us [  9146] |       std::operator<<();
   0.069 us [  9146] |       __gnu_cxx::__normal_iterator::operator++();
            [  9146] |       __gnu_cxx::operator!=() {
   0.065 us [  9146] |         __gnu_cxx::__normal_iterator::base();
   0.071 us [  9146] |         __gnu_cxx::__normal_iterator::base();
   0.464 us [  9146] |       } /* __gnu_cxx::operator!= */
   0.068 us [  9146] |       __gnu_cxx::__normal_iterator::operator*();
   0.310 us [  9146] |       std::basic_ostream::operator<<();
   0.237 us [  9146] |       std::operator<<();
   0.071 us [  9146] |       __gnu_cxx::__normal_iterator::operator++();
            [  9146] |       __gnu_cxx::operator!=() {
   0.069 us [  9146] |         __gnu_cxx::__normal_iterator::base();
   0.067 us [  9146] |         __gnu_cxx::__normal_iterator::base();
   0.474 us [  9146] |       } /* __gnu_cxx::operator!= */
   0.070 us [  9146] |       __gnu_cxx::__normal_iterator::operator*();
   0.248 us [  9146] |       std::basic_ostream::operator<<();
   0.222 us [  9146] |       std::operator<<();
   0.070 us [  9146] |       __gnu_cxx::__normal_iterator::operator++();
            [  9146] |       __gnu_cxx::operator!=() {
   0.068 us [  9146] |         __gnu_cxx::__normal_iterator::base();
   0.071 us [  9146] |         __gnu_cxx::__normal_iterator::base();
   4.935 us [  9146] |       } /* __gnu_cxx::operator!= */
   0.075 us [  9146] |       __gnu_cxx::__normal_iterator::operator*();
   0.397 us [  9146] |       std::basic_ostream::operator<<();
   0.253 us [  9146] |       std::operator<<();
   0.069 us [  9146] |       __gnu_cxx::__normal_iterator::operator++();
            [  9146] |       __gnu_cxx::operator!=() {
   0.070 us [  9146] |         __gnu_cxx::__normal_iterator::base();
   0.068 us [  9146] |         __gnu_cxx::__normal_iterator::base();
   0.466 us [  9146] |       } /* __gnu_cxx::operator!= */
   0.065 us [  9146] |       __gnu_cxx::__normal_iterator::operator*();
   0.243 us [  9146] |       std::basic_ostream::operator<<();
   0.221 us [  9146] |       std::operator<<();
   0.069 us [  9146] |       __gnu_cxx::__normal_iterator::operator++();
            [  9146] |       __gnu_cxx::operator!=() {
   0.068 us [  9146] |         __gnu_cxx::__normal_iterator::base();
   0.069 us [  9146] |         __gnu_cxx::__normal_iterator::base();
   0.472 us [  9146] |       } /* __gnu_cxx::operator!= */
   0.067 us [  9146] |       __gnu_cxx::__normal_iterator::operator*();
   0.250 us [  9146] |       std::basic_ostream::operator<<();
   0.221 us [  9146] |       std::operator<<();
   0.071 us [  9146] |       __gnu_cxx::__normal_iterator::operator++();
            [  9146] |       __gnu_cxx::operator!=() {
   0.069 us [  9146] |         __gnu_cxx::__normal_iterator::base();
   0.069 us [  9146] |         __gnu_cxx::__normal_iterator::base();
   0.468 us [  9146] |       } /* __gnu_cxx::operator!= */
   0.065 us [  9146] |       __gnu_cxx::__normal_iterator::operator*();
   0.242 us [  9146] |       std::basic_ostream::operator<<();
   0.226 us [  9146] |       std::operator<<();
   0.068 us [  9146] |       __gnu_cxx::__normal_iterator::operator++();
            [  9146] |       __gnu_cxx::operator!=() {
   0.070 us [  9146] |         __gnu_cxx::__normal_iterator::base();
   0.069 us [  9146] |         __gnu_cxx::__normal_iterator::base();
   0.472 us [  9146] |       } /* __gnu_cxx::operator!= */
   0.066 us [  9146] |       __gnu_cxx::__normal_iterator::operator*();
   0.242 us [  9146] |       std::basic_ostream::operator<<();
